x,y
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
188.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
188.0,67.0
188.0,67.0
188.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
